Hourly measurement data supplied by UK-air on 06/12/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Westminster",,,
Date,Time,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status
2021-01-03,01:00:00,20.8218,V ugm-3,21.84512,V ugm-3,12.5,V ugm-3 (TEOM FDMS),28.93765,V ugm-3,19.00486,V ugm-3,12.925,V ugm-3 (Ref.eq),29.05559,V ugm-3,11,V ugm-3 (BAM)
2021-01-03,02:00:00,34.85823,V ugm-3,10.43179,V ugm-3,7.7,V ugm-3 (TEOM FDMS),41.84318,V ugm-3,10.00292,V ugm-3,7.854,V ugm-3 (Ref.eq),17.70565,V ugm-3,17,V ugm-3 (BAM)
2021-01-03,03:00:00,40.5626,V ugm-3,6.42241,V ugm-3,7.3,V ugm-3 (TEOM FDMS),46.99874,V ugm-3,7.55253,V ugm-3,6.203,V ugm-3 (Ref.eq),14.0174,V ugm-3,9,V ugm-3 (BAM)
2021-01-03,04:00:00,39.86411,V ugm-3,8.62384,V ugm-3,5,V ugm-3 (TEOM FDMS),46.64949,V ugm-3,9.02557,V ugm-3,5.047,V ugm-3 (Ref.eq),16.00338,V ugm-3,6,V ugm-3 (BAM)
2021-01-03,05:00:00,30.13507,V ugm-3,15.00319,V ugm-3,4.6,V ugm-3 (TEOM FDMS),37.61894,V ugm-3,11.92043,V ugm-3,5.873,V ugm-3 (Ref.eq),20.5996,V ugm-3,8,V ugm-3 (BAM)
2021-01-03,06:00:00,26.94195,V ugm-3,10.97341,V ugm-3,9.6,V ugm-3 (TEOM FDMS),31.98109,V ugm-3,11.71424,V ugm-3,9.835,V ugm-3 (Ref.eq),20.99806,V ugm-3,14,V ugm-3 (BAM)
2021-01-03,07:00:00,24.49722,V ugm-3,14.17212,V ugm-3,9.9,V ugm-3 (TEOM FDMS),31.38238,V ugm-3,14.3004,V ugm-3,9.599,V ugm-3 (Ref.eq),24.46035,V ugm-3,12,V ugm-3 (BAM)
2021-01-03,08:00:00,20.30625,V ugm-3,17.44233,V ugm-3,9.1,V ugm-3 (TEOM FDMS),30.03529,V ugm-3,15.69468,V ugm-3,8.538,V ugm-3 (Ref.eq),27.8654,V ugm-3,10,V ugm-3 (BAM)
2021-01-03,09:00:00,23.05034,V ugm-3,14.73024,V ugm-3,9.1,V ugm-3 (TEOM FDMS),29.33679,V ugm-3,16.78683,V ugm-3,8.656,V ugm-3 (Ref.eq),22.36223,V ugm-3,9,V ugm-3 (BAM)
2021-01-03,10:00:00,21.85292,V ugm-3,16.47134,V ugm-3,7.6,V ugm-3 (TEOM FDMS),29.48647,V ugm-3,16.2287,V ugm-3,6.415,V ugm-3 (Ref.eq),23.27381,V ugm-3,5,V ugm-3 (BAM)
2021-01-03,11:00:00,22.45163,V ugm-3,15.29332,V ugm-3,6.9,V ugm-3 (TEOM FDMS),30.5841,V ugm-3,14.30391,V ugm-3,5.684,V ugm-3 (Ref.eq),23.10526,V ugm-3,7,V ugm-3 (BAM)
2021-01-03,12:00:00,22.90066,V ugm-3,15.98729,V ugm-3,9,V ugm-3 (TEOM FDMS),31.68174,V ugm-3,14.84713,V ugm-3,5.165,V ugm-3 (Ref.eq),23.56248,V ugm-3,8,V ugm-3 (BAM)
