"Date","PM25"
2018-07-22,8.6125
2018-07-23,6.95
2018-07-24,NA
2018-07-25,14.82
2018-07-26,21.05
2018-07-27,11.5125
2018-07-28,4.92916666666667
2018-07-29,2.49583333333333
2018-07-30,3.61666666666667
2018-07-31,4.02083333333333
2018-08-01,6.01666666666667
2018-08-02,6.6625
2018-08-03,7.5125
2018-08-04,5.77083333333333
2018-08-05,7.1125
2018-08-06,10.5894736842105
2018-08-07,NA
2018-08-08,NA
2018-08-09,NA
2018-08-10,NA
2018-08-11,NA
2018-08-12,NA
2018-08-13,NA
2018-08-14,NA
2018-08-15,NA
2018-08-16,NA
2018-08-17,NA
2018-08-18,NA
2018-08-19,NA
2018-08-20,NA
2018-08-21,NA
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-26,NA
2018-08-27,NA
2018-08-28,NA
2018-08-29,NA
2018-08-30,NA
2018-08-31,11.475
2018-09-01,10.8625
2018-09-02,14.5166666666667
2018-09-03,17.1541666666667
2018-09-04,11.0916666666667
2018-09-05,10.8625
2018-09-06,10.0208333333333
2018-09-07,3.64583333333333
2018-09-08,4.89166666666667
2018-09-09,3.47083333333333
2018-09-10,4.36666666666667
2018-09-11,5.24583333333333
2018-09-12,6.09583333333333
2018-09-13,9.45
2018-09-14,4.75416666666667
2018-09-15,5.7375
2018-09-16,4.575
2018-09-17,6.6
2018-09-18,5.09583333333333
2018-09-19,6.00833333333333
2018-09-20,5.82916666666667
2018-09-21,1.18333333333333
2018-09-22,4.40833333333333
2018-09-23,5.67083333333333
2018-09-24,6.675
2018-09-25,13.0208333333333
2018-09-26,10.9333333333333
2018-09-27,13.4166666666667
2018-09-28,5
2018-09-29,8.77391304347826
2018-09-30,9.5125
2018-10-01,4.87083333333333
2018-10-02,2.30416666666667
2018-10-03,5.97083333333333
2018-10-04,9.38333333333333
2018-10-05,19.35
2018-10-06,7.5875
2018-10-07,5.175
2018-10-08,5.4125
2018-10-09,9.05833333333333
2018-10-10,35.0208333333333
2018-10-11,8.32083333333333
2018-10-12,3.54583333333333
2018-10-13,5.9875
2018-10-14,2.39565217391304
2018-10-15,8.11
2018-10-16,13.6666666666667
2018-10-17,7.9375
2018-10-18,7.1375
2018-10-19,10.9541666666667
2018-10-20,25.925
2018-10-21,15.9291666666667
2018-10-22,7.61666666666667
2018-10-23,5.24583333333333
2018-10-24,7.66666666666667
2018-10-25,9.27916666666667
2018-10-26,3.04583333333333
2018-10-27,3.22173913043478
2018-10-28,1.4
2018-10-29,2.9375
2018-10-30,5.7125
2018-10-31,12.7166666666667
2018-11-01,12.5916666666667
2018-11-02,13.2208333333333
2018-11-03,9.65833333333333
2018-11-04,14.4166666666667
2018-11-05,42.4208333333333
2018-11-06,20.8
2018-11-07,4.10416666666667
2018-11-08,4.8375
2018-11-09,6.85
2018-11-10,5.12916666666667
2018-11-11,2.49166666666667
2018-11-12,4.40416666666667
2018-11-13,4.59583333333333
2018-11-14,8.68333333333333
2018-11-15,19.6333333333333
2018-11-16,14.0708333333333
2018-11-17,19.55
2018-11-18,9.51666666666667
2018-11-19,2.41666666666667
2018-11-20,7.98333333333333
2018-11-21,22.4052631578947
2018-11-22,41.0541666666667
2018-11-23,36.2958333333333
2018-11-24,22.9541666666667
2018-11-25,16.3625
2018-11-26,12.5208333333333
2018-11-27,16.4875
2018-11-28,5.61666666666667
2018-11-29,4.925
2018-11-30,7.15
2018-12-01,5.05416666666667
2018-12-02,2.64583333333333
2018-12-03,6.55217391304348
2018-12-04,11.2833333333333
2018-12-05,8.45416666666667
2018-12-06,5.32222222222222
2018-12-07,NA
2018-12-08,NA
2018-12-09,NA
2018-12-10,NA
2018-12-11,NA
2018-12-12,NA
2018-12-13,NA
2018-12-14,25.26875
2018-12-15,16.0782608695652
2018-12-16,6.76521739130435
2018-12-17,7.85454545454545
2018-12-18,6.475
2018-12-19,5.4875
2018-12-20,5.075
2018-12-21,6.94166666666667
2018-12-22,7.19583333333333
2018-12-23,4.20833333333333
2018-12-24,18.7583333333333
2018-12-25,17.9916666666667
2018-12-26,13.9791666666667
2018-12-27,39.4458333333333
2018-12-28,29.9666666666667
2018-12-29,9.94166666666667
2018-12-30,9.975
2018-12-31,6.13333333333333
2019-01-01,6.9625
2019-01-02,8.64166666666667
2019-01-03,11.3916666666667
2019-01-04,24.6333333333333
2019-01-05,21.7125
2019-01-06,17.9541666666667
2019-01-07,8.8875
2019-01-08,9.64166666666667
2019-01-09,8.75833333333333
2019-01-10,24.3125
2019-01-11,17.1
2019-01-12,5.15
2019-01-13,3.00416666666667
2019-01-14,6.7375
2019-01-15,6.90416666666667
2019-01-16,5.12083333333333
2019-01-17,8.4375
2019-01-18,12.175
